"article-info","article-info href","article-description","article-description 2","article-description 3","article-description href","article-description 4","article-description 5","article-description 6","article-description 7","article-description 8","article-description 9","article-description 10","article-description 11","article-description 12","article-description 13","article-description 14","article-description 15","article-description 16","article-description 17","contact-us href"
"What does it mean when I see Self-transfer on Skyscanner?","https://help.skyscanner.net/hc/en-gb/articles/206028971-What-does-it-mean-when-I-see-Self-transfer-on-Skyscanner","At Skyscanner, we want to help you have the best travel experience possible. And we know that saving money on flights in one way to do that.","So, when you search for flights, we'll show you all the options to help you get the most value possible. Sometimes, certain cheaper options might carry some risk. That's why they cost less.","Self-transfer","","What does a self-transfer mean for you?","Baggage allowances may also vary by ticket. At the end of your first flight, you'll likely need to pick up your checked baggage and recheck it for your second flight. You might need to pass through security and passport control during each connection (for international flights). You'll also sometimes need a visa if your connection is in a country that requires one.","In summary, self-transfer tickets often offer attractive prices, but you need to be aware of the above before confirming your booking.","Transfer protection","You'll likely have two tickets, each with a separate cancellation or change policy. If anything causes a delay or cancellation of your first flight, you may miss your second flight and have to buy another ticket.","Some of our travel providers offer Transfer protection.","Transfer protection means that the provider has some kind of connection guarantee, and may help you if something goes wrong (e.g. by booking replacement flights for you).","Different providers have different policies for Transfer protection. We'll therefore tell you when a provider is offering transfer protection, and you'll need to find more information once you have been transferred to their site to complete your booking.","Before you book, we want to help you understand what you're signing up for.","","A self-transfer flight means you will have two or more flights to reach your destination. Two different airlines could operate the two flights, but not always. It's also possible that your second flight leaves from another airport to the one you arrived at (we'll always make this clear). You'll then need to transfer yourself from one flight to the next.","To help you choose, we'll let you know when the flight you are looking for is a self-transfer.","","If different airlines from the same alliance (i.e. SkyTeam, Star Alliance etc.) operate your flights, we won't label it as a self-transfer flight. The airlines will transfer your bags and will be responsible for putting you on another flight if your first flight is delayed.","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=206028971"
"What are Mash-Ups?","https://help.skyscanner.net/hc/en-gb/articles/360000524078-What-are-Mash-Ups","If you wanted to fly London to New York, we might find it’s cheaper to fly out with British Airways and back with Virgin Atlantic, rather than buy a return ticket with one airline. This is called a","‘sum-of-one-way’","mash-up. Just in case you’re interested.","https://help.skyscanner.net/hc/en-gb/articles/206028971?","Another kind of mash-up is what we call a","‘self-transfer’","or a","‘non-protected transfer’",". For example:","These are routes where you fly with different airlines, because it’s cheaper than booking with just one. For example:","If you wanted to fly London to Sydney, we might find it’s cheaper to fly London to Dubai with Emirates, and then Dubai to Sydney with Qantas, rather than booking the whole route with one airline.","Here at Skyscanner, we’re all about helping you have the best travel experience possible. And we know that saving money on flights is one easy way to make a happy traveller.","Pretty simple, right?","However, what’s really important to bear in mind is that mash-ups are","What are mash-ups?","NOT","codeshares. A codeshare is when the airlines have an alliance. If anything goes wrong with the route — a delay, say, or a strike — those airlines will help you out at no extra cost. But mash-ups DO NOT involve an airline alliance. So if something goes wrong with a mash-up, it could cost you more money.","Are mash-ups better than other tickets?","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=360000524078"
"How do I find the cheapest prices across a month?","https://help.skyscanner.net/hc/en-gb/articles/201750142-How-do-I-find-the-cheapest-prices-across-a-month","The monthly prices feature lets you find the best deals by showing the cheapest prices across a month.","On our , you can find the monthly prices by clicking the  field and then clicking . Choose the month you’d like to traveland view the prices for that month.","desktop website","","Depart","mobile website,","app","Flexible dates","The prices shown on the monthly prices feature are meant as a guide only. We hope you find the tool useful in finding the most affordable time to fly.","once","Depart","Date","On our you can find the monthly prices by tapping the field and then Choose the month you want to travel and check out the prices for that month.","Flexible dates.","To find the month view on our , tap the  field, scroll down, and see the prices for the month you’d like to travel.","The monthly price feature only gives estimated prices. It stores prices found for a specific route and dates in the past four days. , the more.","How do I find the monthly prices feature?","that flight ticket prices and availability frequently change, which means the price on the results page might be different from what you saw in the month view. However, you select your travel dates and view the results, we will always show","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201750142"
"How do I change my settings to English?","https://help.skyscanner.net/hc/en-gb/articles/115002696665-How-do-I-change-my-settings-to-English","Skyscanner is available in more than 30 languages. If you wish to change your language settings, please follow these instructions.","On our , click on the  at the top of the website. You will see a drop-down list where you can select your preferred language.","desktop website","","globe icon","mobile website,","mobile app,","the flag","","","","","On our  you can change the language by logging in to your profile and then clicking to access the Regional settings, or you can access the Regional settings by scrolling down to the website footer.","","On our  the language will initially match the language selected in your phone settings. You must change the language in your phone settings to view that language in your Skyscanner mobile app.","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=115002696665"
"How do I change my language settings?","https://help.skyscanner.net/hc/en-gb/articles/201945491-How-do-I-change-my-language-settings","Skyscanner is available in more than 30 languages. If you wish to change your language settings, please follow these instructions:","On our , click on the at the top of the website. You'll see a drop-down list where you can select your preferred language.","d","","globe icon","esktop website","m","the flag","obile website","m","","obile app","On our , you can change the language by logging in to your profile and then clicking  to access the Regional settings, or you can also access the Regional settings by scrolling down to the website footer.","","On our , the language will match the language selected in your phone settings. You must change the language in your phone settings to view that language in your Skyscanner mobile app.","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201945491"
"I've found a problem on a flight provider’s website","https://help.skyscanner.net/hc/en-gb/articles/201151872-I-ve-found-a-problem-on-a-flight-provider-s-website","If you are seeing an error, or if you are having problems trying to complete a booking on a travel provider’s website please contact them directly for support as we don’t have any control over other websites. The search box below can help you find the contact details for the travel provider you booked with.","","","","","","","","","","","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151872"
"I've found a problem on Skyscanner","https://help.skyscanner.net/hc/en-gb/articles/201152322-I-ve-found-a-problem-on-Skyscanner","We are sorry to hear that you are having problems using Skyscanner. We’d encourage you to have a read through the below information, but if it doesn’t help, please contact us and let us know as many details as you can (including screenshots if possible) and our technical team will look into it.","Although as a search engine we don’t set prices ourselves, we appreciate that price accuracy and transparency is something that is key to maintaining trust. We would recommend taking a look at , but of course if there is still something wrong, we’d love to hear from you and we’ll do our best to investigate.","clearing your browser cache and cookies","https://help.skyscanner.net/hc/en-gb/sections/200350582-Prices-on-Skyscanner","App problems","Blocked","these articles","Missing airline, airport, route or travel provider","If you think we are missing an airline, airport, route or travel provider on Skyscanner, please let us know the specific details of what you think might be missing. We’re confident that we provide the most comprehensive coverage out there, and we’re always keen to hear about anything we might be missing.","","Price problems","Problems after being redirected","If you have a problem while making your booking, we’d recommend contacting the flight provider you are booking with. Skyscanner doesn’t have access to airline and travel agent booking systems or websites. Of course if you’re struggling to reach them, please contact us using the button below and we’ll do our best to help out.","","Sometimes, website issues can be caused by browser-related problems. These can often be solved by . If this doesn’t work, please contact us and we will investigate further.","90% of app problems can be rectified by uninstalling and reinstalling the app. We would recommend trying this first, but of course please do contact us if you’re still having problems.","Website not working","We’re sorry if you appear to have been blocked from using Skyscanner; please contact us and provide your IP address and we’ll investigate ASAP.","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201152322"
"Why have I been blocked from accessing the Skyscanner website?","https://help.skyscanner.net/hc/en-gb/articles/201151712-Why-have-I-been-blocked-from-accessing-the-Skyscanner-website","Skyscanner’s websites are  many millions of times a day which has a detrimental effect on the service we’re able to provide. To prevent this, we use a bot blocking solution which checks to ensure you’re using the website in a normal manner.","Occasionally, this may mean that a genuine user may be wrongly flagged as a bot. This can be for a number of potential reasons, including, but not limited to:","You’re using a VPN which we have had to block due to excessive bot traffic in the past","https://en.wikipedia.org/wiki/Web_scraping","scraped by bots","You’re using an automated browser","You’re using our website at super speed which manages to beat our rate limits","http://www.whatismyip.com/","You have a plug-in on your browser which could be interfering with how our website interacts with you as a user","www.skyscanner.net","","","If you've been blocked during normal use, please send us your IP address (this website may help: ), the website you’re accessing (e.g. ) and the date/time this happened, via the Contact Us button below and we’ll look into it as quickly as possible.","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201151712"
"When I get redirected to a provider’s website the currency is different","https://help.skyscanner.net/hc/en-gb/articles/201301901-When-I-get-redirected-to-a-provider-s-website-the-currency-is-different","Skyscanner lets you choose any currency you like to view prices and compare flights, but some airline and travel agent websites will only show their prices or allow payment in a limited number of currencies. If these flights are shown on Skyscanner, you should be able to book them.","Please bear in mind that if you pay for a flight in a currency that’s different from the currency your bank or card issuer uses, the currency conversion will be done by your bank or credit card company. They may use a different exchange rate to Skyscanner, and may charge commission. You should contact your bank if you want to find out about the exchange rate that will apply to you.","","","","","","","","","","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201301901"
"Can I book in my currency?","https://help.skyscanner.net/hc/en-gb/articles/201302051-Can-I-book-in-my-currency","Skyscanner supports over 150 currencies on our  and .","Not all airlines and travel agents may offer your preferred currency for booking. Some countries share a currency symbol (e.g., US$, CA$ and AU$). We’ll always try to make this clear, but make sure you check the currency you’re paying in once on the travel provider’s website.","website","","","app","","","","","","","If you see flights on Skyscanner, you can book them with our travel provider in the displayed currency, and your bank or card issuer will set the exchange rate.","","We would recommend you contact your bank or card issuer if you’d like to find out more about any exchange rate and possible fees you would have to pay for any transactions in another currency.","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201302051"
"Missing currency","https://help.skyscanner.net/hc/en-gb/articles/201301861-Missing-currency","If you think we are missing a currency on the site please let us know via the contact us button below and we will add it to the site and apps as soon as we can.","","","","","","","","","","","","","","","","","","https://help.skyscanner.net/hc/en-gb/requests/new?skyArticle=201301861"
